ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Inglewood,664.3880597014926,112482.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Koreatown,298.3955223880597,115070.0,1.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
La Canada Flintridge,54.34108527131783,20009.0,2.0,78.41085271317829,34.70992248062016,81.8125581395349,-41.06976744186046,-14.37984496124031,-20.94573643410853,-44.24031007751938,-40.44961240310077,17.069767441860463
La Mirada,200.87313432835822,46782.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
La Puente,277.504,41009.0,2.0,79.52463999999999,34.92472000000001,82.99680000000001,-40.944,-14.16,-20.528,-44.032,-40.28,16.944
La Verne,74.83720930232558,33117.0,2.0,78.41085271317829,34.70992248062016,81.8125581395349,-41.06976744186046,-14.37984496124031,-20.94573643410853,-44.24031007751938,-40.44961240310077,17.069767441860463
Lake Balboa,222.63076923076923,24238.0,2.0,78.17338461538459,34.65446153846155,81.58638461538463,-41.12307692307692,-14.36923076923077,-21.0,-44.253846153846155,-40.4,17.076923076923077
Lake Los Angeles,43.77777777777778,11141.0,2.0,81.8950427350427,35.54658119658119,85.48504273504275,-40.69230769230769,-13.683760683760683,-19.247863247863247,-43.52991452991453,-39.743589743589745,16.572649572649574
Lakewood,276.2923076923077,79412.0,2.0,78.17338461538459,34.65446153846155,81.58638461538463,-41.12307692307692,-14.36923076923077,-21.0,-44.253846153846155,-40.4,17.076923076923077
Lancaster,699.5954198473282,120783.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Lawndale,145.08396946564886,31729.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Leimert Park,78.21774193548387,11782.0,2.0,79.79193548387096,34.987903225806456,83.29419354838711,-40.92741935483871,-14.112903225806452,-20.411290322580644,-43.975806451612904,-40.20161290322581,16.887096774193548
Lincoln Heights,300.6825396825397,26616.0,1.0,79.26055555555554,34.87936507936509,82.70706349206351,-40.96031746031746,-14.206349206349206,-20.634920634920636,-44.07936507936508,-40.34920634920635,16.99206349206349
Lomita,60.66153846153846,19984.0,2.0,78.21584615384613,34.69423076923078,81.60953846153848,-41.08461538461538,-14.261538461538462,-20.96153846153846,-44.2,-40.33846153846154,17.053846153846155
Los Feliz,58.3359375,35238.0,2.0,78.74078124999998,34.797031249999996,82.14203125000002,-40.984375,-14.2890625,-20.828125,-44.1640625,-40.46875,17.078125
Lynwood,759.421052631579,69899.0,2.0,77.75774436090224,34.71548872180452,80.99045112781957,-40.94736842105263,-14.037593984962406,-21.06015037593985,-44.12781954887218,-40.30827067669173,17.112781954887218
