ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Hacienda Heights,372.98148148148147,53525.0,2.0,86.75327160493828,37.818086419753115,91.31537037037036,-38.44444444444444,-13.567901234567902,-16.635802469135804,-43.27160493827161,-39.68518518518518,15.925925925925926
Hancock Park,109.3491124260355,9804.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Harbor City,197.08641975308643,23561.0,2.0,86.75327160493828,37.818086419753115,91.31537037037036,-38.44444444444444,-13.567901234567902,-16.635802469135804,-43.27160493827161,-39.68518518518518,15.925925925925926
Harbor Gateway,344.780487804878,39688.0,2.0,86.25780487804877,37.708414634146365,90.76817073170731,-38.5,-13.646341463414634,-16.847560975609756,-43.353658536585364,-39.798780487804876,16.01219512195122
Harvard Heights,229.2378048780488,18587.0,1.0,86.25780487804877,37.708414634146365,90.76817073170731,-38.5,-13.646341463414634,-16.847560975609756,-43.353658536585364,-39.798780487804876,16.01219512195122
Harvard Park,624.4534161490683,10297.0,1.0,87.00403726708076,37.88472049689444,91.59608695652173,-38.41614906832298,-13.527950310559007,-16.52173913043478,-43.22360248447205,-39.62111801242236,15.875776397515528
Hawthorne,731.1656804733727,86265.0,1.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Highland Park,426.0121951219512,57566.0,2.0,86.25780487804877,37.708414634146365,90.76817073170731,-38.5,-13.646341463414634,-16.847560975609756,-43.353658536585364,-39.798780487804876,16.01219512195122
Hollywood,468.63529411764705,77818.0,1.0,85.03076470588235,37.51823529411767,89.35423529411766,-38.56470588235294,-13.5,-17.235294117647058,-43.38235294117647,-39.73529411764706,16.105882352941176
Hollywood Hills,124.96470588235294,21588.0,2.0,85.03076470588235,37.51823529411767,89.35423529411766,-38.56470588235294,-13.5,-17.235294117647058,-43.38235294117647,-39.73529411764706,16.105882352941176
Huntington Park,1106.59375,61370.0,1.0,87.22737500000001,37.94656250000001,91.856,-38.375,-13.49375,-16.4125,-43.175,-39.5625,15.81875
Hyde Park,299.55151515151516,36635.0,1.0,86.01375757575758,37.666424242424256,90.5010303030303,-38.52121212121212,-13.67878787878788,-16.939393939393938,-43.38787878787879,-39.842424242424244,16.048484848484847
Inglewood,1048.1627906976744,112482.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Koreatown,448.5813953488372,115070.0,1.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
La Canada Flintridge,75.1377245508982,20009.0,2.0,85.48497005988024,37.5210778443114,89.96838323353293,-38.65868263473054,-13.748502994011975,-17.119760479041915,-43.467065868263475,-39.796407185628745,16.059880239520957
La Mirada,314.59302325581393,46782.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
La Puente,505.44171779141107,41009.0,2.0,86.50478527607362,37.76527607361966,91.0403680981595,-38.47239263803681,-13.607361963190185,-16.742331288343557,-43.31288343558282,-39.74233128834356,15.969325153374234
La Verne,143.32934131736528,33117.0,2.0,85.48497005988024,37.5210778443114,89.96838323353293,-38.65868263473054,-13.748502994011975,-17.119760479041915,-43.467065868263475,-39.796407185628745,16.059880239520957
Lake Balboa,356.23809523809524,24238.0,2.0,85.31416666666667,37.49511904761907,89.74845238095239,-38.666666666666664,-13.696428571428571,-17.19047619047619,-43.470238095238095,-39.80357142857143,16.095238095238095
Lake Los Angeles,75.84516129032258,11141.0,2.0,88.65187096774193,38.35903225806453,93.33845161290323,-38.15483870967742,-13.212903225806452,-15.612903225806452,-42.909677419354836,-39.329032258064515,15.651612903225807
Lakewood,450.4166666666667,79412.0,2.0,85.31416666666667,37.49511904761907,89.74845238095239,-38.666666666666664,-13.696428571428571,-17.19047619047619,-43.470238095238095,-39.80357142857143,16.095238095238095
Lancaster,1129.3254437869823,120783.0,2.0,85.24668639053253,37.57076923076925,89.59041420118344,-38.55029585798817,-13.544378698224852,-17.325443786982248,-43.38461538461539,-39.69822485207101,16.06508875739645
Lawndale,232.97041420118344,31729.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
